2024-02-21 23:34:32.055545: Large marble: Hercules, marbles: Pastel Gray, Terra Cotta, Pale Cerulean, Mode Beige, Russian Green, Antique Bronze, Silver Chalice
2024-02-21 23:34:32.461959: Large marble: Sure Shot, marbles: Rose Quartz, Purple Plum, Eerie Black, Big Dip O’ruby, Pale Taupe, Silver Chalice, Lumber
2024-02-21 23:34:32.877784: Large marble: Apollo, marbles: Duke Blue, Spanish Orange, Spanish Pink, Lavender Blue, Orange Soda, Auburn, Liver Chestnut
2024-02-21 23:34:33.294338: Large marble: Winner, marbles: Gold, Icterine, Liver Chestnut, Dark Moss Green, Pastel Gray, Terra Cotta, Purple Plum
2024-02-21 23:34:33.706944: Large marble: 5-Star, marbles: Cobalt Blue, Lilac Luster, Lilac Luster, Pastel Blue, Blue-Green, Maximum Violet, Antique Brass
2024-02-21 23:34:34.140313: Large marble: Big Joe, marbles: Rose Dust, Cobalt Blue, Isabelline, Pale Taupe, Cotton Candy, Ruby, Pale Goldenrod
2024-02-21 23:34:34.550054: Large marble: Zeus, marbles: Dark Moss Green, Blue-Green, Chinese Red, Honeydew, Isabelline, Royal Red, Green
2024-02-21 23:34:34.944834: Large marble: Lucky, marbles: Shandy, Gold, Chinese Red, Pale Goldenrod, Middle Green, Rose Dust, Chinese Red
2024-02-21 23:34:35.327284: Large marble: Winner, marbles: Mint Cream, Liver Chestnut, Lemon Lime, Cotton Candy, Maximum Purple, Maximum Blue, Lemon Lime
2024-02-21 23:34:35.737811: Large marble: Sure Shot, marbles: Arylide Yellow, Arylide Yellow, Neon Dark Green, Middle Green, Maximum Violet, Rose Dust, Indigo
2024-02-21 23:34:36.155981: Large marble: 5-Star, marbles: Royal Orange, Mode Beige, Safety Yellow, Light Orchid, Beaver, Maximum Purple, Pastel Blue
2024-02-21 23:34:36.551913: Large marble: Sure Shot, marbles: Honeydew, Fiery Rose, Golden Yellow, Auburn, Spanish Orange, Lilac Luster, Vegas Gold
2024-02-21 23:34:36.968800: Large marble: Sure Shot, marbles: Middle Red Purple, Purple, Duke Blue, Sheen Green, Lemon Lime, Tuscan Brown, Cobalt Blue
2024-02-21 23:34:37.377194: Large marble: Lucky, marbles: Stop Red, Liver Chestnut, Safety Yellow, Isabelline, Maximum Violet, Terra Cotta, Sage
2024-02-21 23:34:37.808460: Large marble: 5-Star, marbles: Safety Yellow, Pastel Blue, Neon Silver, Royal Blue, Green, Indigo, Duke Blue
2024-02-21 23:34:38.240013: Large marble: Lucky, marbles: Shandy, Pale Plum, Middle Green, Blue, Neon Pink, Brink Pink, Tuscan Brown
2024-02-21 23:34:38.642715: Large marble: Big Joe, marbles: Maximum Violet, Brink Pink, Spanish Orange, Eerie Black, Honeydew, White Smoke, Spanish Carmine
2024-02-21 23:34:39.070394: Large marble: Apollo, marbles: Royal Blue, Spanish Orange, Royal Blue, Maximum Violet, Black Coral, Platinum, Pale Cerulean
2024-02-21 23:34:39.497173: Large marble: Apollo, marbles: Russian Violet, Granny Smith Apple, Slate Blue, Duke Blue, Chinese Red, Indigo, Maximum Purple
2024-02-21 23:34:39.923484: Large marble: Zeus, marbles: Sage, Royal Orange, Maximum Violet, Eerie Black, Dark Fuchsia, Orange Peel, Middle Red Purple
2024-02-21 23:34:40.330491: Large marble: Apollo, marbles: Outrageous Orange, Mode Beige, Middle Green, Mint Green, Mint Cream, Antique Bronze, Spanish Orange
2024-02-21 23:34:40.762237: Large marble: Spinner, marbles: Outrageous Orange, Safety Yellow, Vegas Gold, Stop Red, Neon Pink, Pale Goldenrod, Dark Fuchsia
2024-02-21 23:34:41.213106: Large marble: Apollo, marbles: Sheen Green, Blue-Green, Middle Green Yellow, Royal Orange, Stop Red, Lemon Lime, Ruby
2024-02-21 23:34:41.642522: Large marble: 5-Star, marbles: Bistre Brown, Pale Taupe, Rose Dust, Pale Goldenrod, Fiery Rose, Tuscan Brown, Silver Chalice
2024-02-21 23:34:42.080863: Large marble: Hercules, marbles: Maximum Blue, Neon Dark Green, Silver Pink, Antique Brass, Silver Pink, La Salle Green, Bistre Brown
2024-02-21 23:34:42.501255: Large marble: Sure Shot, marbles: Rose Dust, Isabelline, Eerie Black, Icterine, Eerie Black, Slate Blue, Pale Plum
2024-02-21 23:34:42.936402: Large marble: 5-Star, marbles: Royal Orange, Pale Goldenrod, Vegas Gold, White Smoke, Middle Green Yellow, Gold, Lumber
2024-02-21 23:34:43.352572: Large marble: Winner, marbles: Orange Soda, Light Orange, Honeydew, Orange Soda, Platinum, Spanish Pink, Lumber
2024-02-21 23:34:43.758498: Large marble: 5-Star, marbles: Chinese Red, Light Orchid, Zomp, Icterine, Blue Bell, Royal Red, Ruby
2024-02-21 23:34:44.189576: Large marble: Lucky, marbles: Emerald, Middle Green, Orange Soda, Chinese Red, Arylide Yellow, Honeydew, Mango Tango
2024-02-21 23:34:44.619556: Large marble: Zeus, marbles: Neon Dark Green, Lavender Purple, Arylide Yellow, Purple, Middle Red Purple, Venetian Red, Pale Plum
2024-02-21 23:34:45.040533: Large marble: Sure Shot, marbles: Antique Brass, Gold, Pale Taupe, Spanish Orange, Lilac Luster, Light Orange, Terra Cotta
2024-02-21 23:34:45.458618: Large marble: Zeus, marbles: Antique Bronze, Middle Green Yellow, Middle Red Purple, Spanish Orange, White Smoke, Spanish Carmine, Maximum Violet
2024-02-21 23:34:45.870176: Large marble: Sure Shot, marbles: Mimi Pink, Mimi Pink, Almond, Fiery Rose, Orange Peel, Slate Blue, Pale Plum
2024-02-21 23:34:46.314774: Large marble: Big Joe, marbles: Duke Blue, Golden Yellow, Duke Blue, Neon Dark Green, Mint Green, Blue-Green, Venetian Red
2024-02-21 23:34:46.760771: Large marble: Zeus, marbles: Isabelline, Venetian Red, Middle Green, Arylide Yellow, Isabelline, Safety Yellow, Beaver
2024-02-21 23:34:47.179770: Large marble: Zeus, marbles: Dark Moss Green, Liver Chestnut, Neon Silver, Beaver, Silver Chalice, Royal Red, Middle Green
2024-02-21 23:34:47.589804: Large marble: Big Joe, marbles: Orange Soda, Brown, Liver Chestnut, Isabelline, Blue, Ruby, Orange Soda
2024-02-21 23:34:47.979707: Large marble: Lucky, marbles: Tuscan Brown, Platinum, Rose Dust, Pale Goldenrod, Pale Taupe, Eerie Black, Brink Pink
2024-02-21 23:34:48.423819: Large marble: Winner, marbles: Big Dip O’ruby, Terra Cotta, Russian Violet, Liver Chestnut, Pastel Gray, Silver Pink, Fiery Rose
2024-02-21 23:34:48.856454: Large marble: Big Joe, marbles: Sheen Green, Brown, Sheen Green, White Smoke, Ivory, Lilac Luster, Brink Pink
2024-02-21 23:34:49.284033: Large marble: Sure Shot, marbles: Antique Bronze, Big Dip O’ruby, Maximum Purple, Spanish Carmine, Mint Green, Russian Green, Candy Pink
2024-02-21 23:34:49.703142: Large marble: Zeus, marbles: Platinum, Emerald, Lumber, Outrageous Orange, Cobalt Blue, Blue-Green, Royal Orange
2024-02-21 23:34:50.120475: Large marble: Sure Shot, marbles: Slate Blue, Royal Orange, Purple Plum, Cobalt Blue, Gold, Neon Silver, Maximum Blue
2024-02-21 23:34:50.550248: Large marble: Winner, marbles: Golden Yellow, Blue-Green, Lavender Blue, Light Orchid, Brown, Blue Bell, Zomp
2024-02-21 23:34:50.979505: Large marble: Zeus, marbles: Silver Chalice, Pale Taupe, Lilac Luster, Spanish Carmine, Stop Red, Ivory, Orange Soda
2024-02-21 23:34:51.385588: Large marble: Lucky, marbles: Orange Peel, Light Orchid, Maximum Blue, Outrageous Orange, Mint Cream, Chinese Red, Mango Tango
2024-02-21 23:34:51.794402: Large marble: Apollo, marbles: Orange Soda, Purple, Pale Taupe, Mango Tango, Green, Chinese Red, Fiery Rose
2024-02-21 23:34:52.213701: Large marble: Sure Shot, marbles: Big Dip O’ruby, Ruby, Ruby, Thulian Pink, Zomp, Pale Taupe, Antique Brass
2024-02-21 23:34:52.647298: Large marble: Zeus, marbles: Mint Green, Neon Silver, Zomp, Light Orange, Mulberry, Lilac Luster, Honeydew
2024-02-21 23:34:53.090317: Large marble: Winner, marbles: Spanish Carmine, Emerald, Isabelline, Pastel Gray, Light Orange, Cobalt Blue, Brink Pink
2024-02-21 23:34:53.537606: Large marble: Sure Shot, marbles: Middle Green, Isabelline, Pale Plum, Pastel Gray, Big Dip O’ruby, Orange Soda, Big Dip O’ruby
